START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/08/22,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",04/08/22,04/08/22,10:07 PM,10:07 PM,FALSE,TRUE,04/08/22,06:07 PM,06:07 PM,FREE,BUSY
04/09/22,03:07 PM,03:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",04/09/22,04/09/22,06:07 PM,06:07 PM,FALSE,TRUE,04/09/22,02:07 PM,02:07 PM,FREE,BUSY
04/10/22,01:37 PM,01:37 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET",04/10/22,04/10/22,04:37 PM,04:37 PM,FALSE,TRUE,04/10/22,12:37 PM,12:37 PM,FREE,BUSY
04/11/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/11/22,04/11/22,10:05 PM,10:05 PM,FALSE,TRUE,04/11/22,06:05 PM,06:05 PM,FREE,BUSY
04/12/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/12/22,04/12/22,10:05 PM,10:05 PM,FALSE,TRUE,04/12/22,06:05 PM,06:05 PM,FREE,BUSY
04/13/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: SNET-1",04/13/22,04/13/22,10:05 PM,10:05 PM,FALSE,TRUE,04/13/22,06:05 PM,06:05 PM,FREE,BUSY
04/14/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: SNET- MLBN (out-of-market only)",04/14/22,04/14/22,10:05 PM,10:05 PM,FALSE,TRUE,04/14/22,06:05 PM,06:05 PM,FREE,BUSY
04/15/22,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/15/22,04/15/22,10:07 PM,10:07 PM,FALSE,TRUE,04/15/22,06:07 PM,06:07 PM,FREE,BUSY
04/16/22,03:07 PM,03:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/16/22,04/16/22,06:07 PM,06:07 PM,FALSE,TRUE,04/16/22,02:07 PM,02:07 PM,FREE,BUSY
04/17/22,01:37 PM,01:37 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/17/22,04/17/22,04:37 PM,04:37 PM,FALSE,TRUE,04/17/22,12:37 PM,12:37 PM,FREE,BUSY
04/19/22,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET",04/19/22,04/19/22,10:10 PM,10:10 PM,FALSE,TRUE,04/19/22,06:10 PM,06:10 PM,FREE,BUSY
04/20/22,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET-1 ----- Local Radio: SN590",04/20/22,04/20/22,10:10 PM,10:10 PM,FALSE,TRUE,04/20/22,06:10 PM,06:10 PM,FREE,BUSY
04/21/22,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local Radio: SN590",04/21/22,04/21/22,04:35 PM,04:35 PM,FALSE,TRUE,04/21/22,12:35 PM,12:35 PM,FREE,BUSY
04/22/22,08:10 PM,08:10 PM,Blue Jays at Astros,Minute Maid Park - Houston,"",04/22/22,04/22/22,11:10 PM,11:10 PM,FALSE,TRUE,04/22/22,07:10 PM,07:10 PM,FREE,BUSY
04/23/22,04:10 PM,04:10 PM,Blue Jays at Astros,Minute Maid Park - Houston,"",04/23/22,04/23/22,07:10 PM,07:10 PM,FALSE,TRUE,04/23/22,03:10 PM,03:10 PM,FREE,BUSY
04/24/22,02:10 PM,02:10 PM,Blue Jays at Astros,Minute Maid Park - Houston,"",04/24/22,04/24/22,05:10 PM,05:10 PM,FALSE,TRUE,04/24/22,01:10 PM,01:10 PM,FREE,BUSY
04/25/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",04/25/22,04/25/22,10:07 PM,10:07 PM,FALSE,TRUE,04/25/22,06:07 PM,06:07 PM,FREE,BUSY
04/26/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",04/26/22,04/26/22,10:07 PM,10:07 PM,FALSE,TRUE,04/26/22,06:07 PM,06:07 PM,FREE,BUSY
04/27/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",04/27/22,04/27/22,10:07 PM,10:07 PM,FALSE,TRUE,04/27/22,06:07 PM,06:07 PM,FREE,BUSY
04/28/22,03:07 PM,03:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",04/28/22,04/28/22,06:07 PM,06:07 PM,FALSE,TRUE,04/28/22,02:07 PM,02:07 PM,FREE,BUSY
04/29/22,07:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre - Toronto,"",04/29/22,04/29/22,10:07 PM,10:07 PM,FALSE,TRUE,04/29/22,06:07 PM,06:07 PM,FREE,BUSY
04/30/22,03:07 PM,03:07 PM,Astros at Blue Jays,Rogers Centre - Toronto,"",04/30/22,04/30/22,06:07 PM,06:07 PM,FALSE,TRUE,04/30/22,02:07 PM,02:07 PM,FREE,BUSY
05/01/22,01:37 PM,01:37 PM,Astros at Blue Jays,Rogers Centre - Toronto,"",05/01/22,05/01/22,04:37 PM,04:37 PM,FALSE,TRUE,05/01/22,12:37 PM,12:37 PM,FREE,BUSY
05/02/22,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",05/02/22,05/02/22,10:07 PM,10:07 PM,FALSE,TRUE,05/02/22,06:07 PM,06:07 PM,FREE,BUSY
05/03/22,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",05/03/22,05/03/22,10:07 PM,10:07 PM,FALSE,TRUE,05/03/22,06:07 PM,06:07 PM,FREE,BUSY
05/04/22,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",05/04/22,05/04/22,10:07 PM,10:07 PM,FALSE,TRUE,05/04/22,06:07 PM,06:07 PM,FREE,BUSY
05/05/22,06:10 PM,06:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local Radio: SN590",05/05/22,05/05/22,09:10 PM,09:10 PM,FALSE,TRUE,05/05/22,05:10 PM,05:10 PM,FREE,BUSY
05/06/22,07:10 PM,07:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local Radio: SN590",05/06/22,05/06/22,10:10 PM,10:10 PM,FALSE,TRUE,05/06/22,06:10 PM,06:10 PM,FREE,BUSY
05/07/22,06:10 PM,06:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local Radio: SN590",05/07/22,05/07/22,09:10 PM,09:10 PM,FALSE,TRUE,05/07/22,05:10 PM,05:10 PM,FREE,BUSY
05/08/22,01:40 PM,01:40 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local Radio: SN590",05/08/22,05/08/22,04:40 PM,04:40 PM,FALSE,TRUE,05/08/22,12:40 PM,12:40 PM,FREE,BUSY
05/10/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",05/10/22,05/10/22,10:05 PM,10:05 PM,FALSE,TRUE,05/10/22,06:05 PM,06:05 PM,FREE,BUSY
05/11/22,12:35 PM,12:35 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",05/11/22,05/11/22,03:35 PM,03:35 PM,FALSE,TRUE,05/11/22,11:35 AM,11:35 AM,FREE,BUSY
05/13/22,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/13/22,05/13/22,10:10 PM,10:10 PM,FALSE,TRUE,05/13/22,06:10 PM,06:10 PM,FREE,BUSY
05/14/22,06:10 PM,06:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/14/22,05/14/22,09:10 PM,09:10 PM,FALSE,TRUE,05/14/22,05:10 PM,05:10 PM,FREE,BUSY
05/15/22,01:40 PM,01:40 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",05/15/22,05/15/22,04:40 PM,04:40 PM,FALSE,TRUE,05/15/22,12:40 PM,12:40 PM,FREE,BUSY
05/16/22,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/16/22,05/16/22,10:07 PM,10:07 PM,FALSE,TRUE,05/16/22,06:07 PM,06:07 PM,FREE,BUSY
05/17/22,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/17/22,05/17/22,10:07 PM,10:07 PM,FALSE,TRUE,05/17/22,06:07 PM,06:07 PM,FREE,BUSY
05/18/22,07:07 PM,07:07 PM,Mariners at Blue Jays,Rogers Centre - Toronto,"",05/18/22,05/18/22,10:07 PM,10:07 PM,FALSE,TRUE,05/18/22,06:07 PM,06:07 PM,FREE,BUSY
05/20/22,07:07 PM,07:07 PM,Reds at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",05/20/22,05/20/22,10:07 PM,10:07 PM,FALSE,TRUE,05/20/22,06:07 PM,06:07 PM,FREE,BUSY
05/21/22,03:07 PM,03:07 PM,Reds at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",05/21/22,05/21/22,06:07 PM,06:07 PM,FALSE,TRUE,05/21/22,02:07 PM,02:07 PM,FREE,BUSY
05/22/22,01:37 PM,01:37 PM,Reds at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",05/22/22,05/22/22,04:37 PM,04:37 PM,FALSE,TRUE,05/22/22,12:37 PM,12:37 PM,FREE,BUSY
05/23/22,07:45 PM,07:45 PM,Blue Jays at Cardinals,Busch Stadium - St. Louis,"",05/23/22,05/23/22,10:45 PM,10:45 PM,FALSE,TRUE,05/23/22,06:45 PM,06:45 PM,FREE,BUSY
05/24/22,07:45 PM,07:45 PM,Blue Jays at Cardinals,Busch Stadium - St. Louis,"",05/24/22,05/24/22,10:45 PM,10:45 PM,FALSE,TRUE,05/24/22,06:45 PM,06:45 PM,FREE,BUSY
05/26/22,09:38 PM,09:38 PM,Blue Jays at Angels,Angel Stadium - Anaheim,"",05/27/22,05/27/22,12:38 AM,12:38 AM,FALSE,TRUE,05/26/22,08:38 PM,08:38 PM,FREE,BUSY
05/27/22,09:38 PM,09:38 PM,Blue Jays at Angels,Angel Stadium - Anaheim,"",05/28/22,05/28/22,12:38 AM,12:38 AM,FALSE,TRUE,05/27/22,08:38 PM,08:38 PM,FREE,BUSY
05/28/22,10:07 PM,10:07 PM,Blue Jays at Angels,Angel Stadium - Anaheim,"",05/29/22,05/29/22,01:07 AM,01:07 AM,FALSE,TRUE,05/28/22,09:07 PM,09:07 PM,FREE,BUSY
05/29/22,04:07 PM,04:07 PM,Blue Jays at Angels,Angel Stadium - Anaheim,"",05/29/22,05/29/22,07:07 PM,07:07 PM,FALSE,TRUE,05/29/22,03:07 PM,03:07 PM,FREE,BUSY
05/31/22,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/31/22,05/31/22,10:07 PM,10:07 PM,FALSE,TRUE,05/31/22,06:07 PM,06:07 PM,FREE,BUSY
06/01/22,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",06/01/22,06/01/22,10:07 PM,10:07 PM,FALSE,TRUE,06/01/22,06:07 PM,06:07 PM,FREE,BUSY
06/02/22,03:07 PM,03:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",06/02/22,06/02/22,06:07 PM,06:07 PM,FALSE,TRUE,06/02/22,02:07 PM,02:07 PM,FREE,BUSY
06/03/22,07:07 PM,07:07 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",06/03/22,06/03/22,10:07 PM,10:07 PM,FALSE,TRUE,06/03/22,06:07 PM,06:07 PM,FREE,BUSY
06/04/22,03:07 PM,03:07 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",06/04/22,06/04/22,06:07 PM,06:07 PM,FALSE,TRUE,06/04/22,02:07 PM,02:07 PM,FREE,BUSY
06/05/22,01:37 PM,01:37 PM,Twins at Blue Jays,Rogers Centre - Toronto,"",06/05/22,06/05/22,04:37 PM,04:37 PM,FALSE,TRUE,06/05/22,12:37 PM,12:37 PM,FREE,BUSY
06/06/22,08:10 PM,08:10 PM,Blue Jays at Royals,Kauffman Stadium - Kansas City,"",06/06/22,06/06/22,11:10 PM,11:10 PM,FALSE,TRUE,06/06/22,07:10 PM,07:10 PM,FREE,BUSY
06/07/22,08:10 PM,08:10 PM,Blue Jays at Royals,Kauffman Stadium - Kansas City,"",06/07/22,06/07/22,11:10 PM,11:10 PM,FALSE,TRUE,06/07/22,07:10 PM,07:10 PM,FREE,BUSY
06/08/22,02:10 PM,02:10 PM,Blue Jays at Royals,Kauffman Stadium - Kansas City,"Local TV: YouTube",06/08/22,06/08/22,05:10 PM,05:10 PM,FALSE,TRUE,06/08/22,01:10 PM,01:10 PM,FREE,BUSY
06/10/22,07:10 PM,07:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/10/22,06/10/22,10:10 PM,10:10 PM,FALSE,TRUE,06/10/22,06:10 PM,06:10 PM,FREE,BUSY
06/11/22,04:10 PM,04:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/11/22,06/11/22,07:10 PM,07:10 PM,FALSE,TRUE,06/11/22,03:10 PM,03:10 PM,FREE,BUSY
06/12/22,01:40 PM,01:40 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/12/22,06/12/22,04:40 PM,04:40 PM,FALSE,TRUE,06/12/22,12:40 PM,12:40 PM,FREE,BUSY
06/13/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/13/22,06/13/22,10:07 PM,10:07 PM,FALSE,TRUE,06/13/22,06:07 PM,06:07 PM,FREE,BUSY
06/14/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/14/22,06/14/22,10:07 PM,10:07 PM,FALSE,TRUE,06/14/22,06:07 PM,06:07 PM,FREE,BUSY
06/15/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/15/22,06/15/22,10:07 PM,10:07 PM,FALSE,TRUE,06/15/22,06:07 PM,06:07 PM,FREE,BUSY
06/16/22,03:07 PM,03:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/16/22,06/16/22,06:07 PM,06:07 PM,FALSE,TRUE,06/16/22,02:07 PM,02:07 PM,FREE,BUSY
06/17/22,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/17/22,06/17/22,10:07 PM,10:07 PM,FALSE,TRUE,06/17/22,06:07 PM,06:07 PM,FREE,BUSY
06/18/22,03:07 PM,03:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/18/22,06/18/22,06:07 PM,06:07 PM,FALSE,TRUE,06/18/22,02:07 PM,02:07 PM,FREE,BUSY
06/19/22,01:37 PM,01:37 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/19/22,06/19/22,04:37 PM,04:37 PM,FALSE,TRUE,06/19/22,12:37 PM,12:37 PM,FREE,BUSY
06/20/22,08:10 PM,08:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/20/22,06/20/22,11:10 PM,11:10 PM,FALSE,TRUE,06/20/22,07:10 PM,07:10 PM,FREE,BUSY
06/21/22,08:10 PM,08:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/21/22,06/21/22,11:10 PM,11:10 PM,FALSE,TRUE,06/21/22,07:10 PM,07:10 PM,FREE,BUSY
06/22/22,02:10 PM,02:10 PM,Blue Jays at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: SN590",06/22/22,06/22/22,05:10 PM,05:10 PM,FALSE,TRUE,06/22/22,01:10 PM,01:10 PM,FREE,BUSY
06/24/22,08:10 PM,08:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/24/22,06/24/22,11:10 PM,11:10 PM,FALSE,TRUE,06/24/22,07:10 PM,07:10 PM,FREE,BUSY
06/25/22,04:10 PM,04:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/25/22,06/25/22,07:10 PM,07:10 PM,FALSE,TRUE,06/25/22,03:10 PM,03:10 PM,FREE,BUSY
06/26/22,02:10 PM,02:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/26/22,06/26/22,05:10 PM,05:10 PM,FALSE,TRUE,06/26/22,01:10 PM,01:10 PM,FREE,BUSY
06/27/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/27/22,06/27/22,10:07 PM,10:07 PM,FALSE,TRUE,06/27/22,06:07 PM,06:07 PM,FREE,BUSY
06/28/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/28/22,06/28/22,10:07 PM,10:07 PM,FALSE,TRUE,06/28/22,06:07 PM,06:07 PM,FREE,BUSY
06/29/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/29/22,06/29/22,10:07 PM,10:07 PM,FALSE,TRUE,06/29/22,06:07 PM,06:07 PM,FREE,BUSY
06/30/22,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",06/30/22,06/30/22,10:07 PM,10:07 PM,FALSE,TRUE,06/30/22,06:07 PM,06:07 PM,FREE,BUSY
07/01/22,03:07 PM,03:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/01/22,07/01/22,06:07 PM,06:07 PM,FALSE,TRUE,07/01/22,02:07 PM,02:07 PM,FREE,BUSY
07/02/22,12:07 PM,12:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/02/22,07/02/22,03:07 PM,03:07 PM,FALSE,TRUE,07/02/22,11:07 AM,11:07 AM,FREE,BUSY
07/02/22,06:07 PM,06:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/02/22,07/02/22,09:07 PM,09:07 PM,FALSE,TRUE,07/02/22,05:07 PM,05:07 PM,FREE,BUSY
